label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,8928,3,229.0507,2.11845,0.8460866,,,,,0,0,229.0507,54483.76,53514.96,48442.31
,0,8929,2,229.0507,2.638217,0.7483028,,,,,0,0,229.0507,17525.17,16417.26,13182.43
,0,8930,2,229.0508,4.033211,0.5334229,,,,,0,0,229.0508,7706.388,8473.407,9628.906
,0,8931,3,133.087,4.084723,0.7100849,,,,,0,0,133.087,42997.09,39105.75,43300.41
,0,8932,2,246.955,13.20322,0.7761509,,,,,0,0,246.955,2620.625,27216.63,54042.56
,0,8933,3,515.3893,2.594111,0.8456144,,,,,0,0,515.3893,48660.01,44046.85,33086
,0,8934,3,596.3123,7.751395,0.8482453,,,,,0,0,596.3123,39731.72,48448.18,56139.67
,0,8935,3,217.087,2.587856,0.8309963,,,,,0,0,217.087,32319.71,29296.14,25701.79
,0,8936,2,217.087,4.010956,0.7676196,,,,,0,0,217.087,12453.03,14746.72,9427.466
,0,8937,3,281.0878,11.65395,0.7857563,,,,,0,0,281.0878,25104.02,35777.4,33508.75
,0,8938,2,97.01054,13.73876,0.7727621,,,,,0,0,97.01054,19918.89,12221.15,24951.45
,0,8939,3,400.213,6.889267,0.83263,,,,,0,0,400.213,37200.56,41674.9,47495.07
,0,8940,2,580.1001,2.472017,0.8181489,,,,,0,0,580.1001,34939.58,23910.57,26246.22
,0,8941,2,437.1601,2.51895,0.8433024,,,,,0,0,437.1601,22782.89,25636.99,26625.28
,0,8942,3,383.0938,6.806323,0.7461111,,,,,0,0,383.0938,49417.72,42342.27,34140.09
,0,8943,3,518.3203,4.001489,0.8492647,,,,,0,0,518.3203,46226.02,54384.18,25572.62
,0,8944,3,418.2239,6.892573,0.8449686,,,,,0,0,418.2239,20361.03,24599.27,21957.03
,0,8945,3,96.92355,13.71685,0.8464411,,,,,0,0,96.92355,66553.25,24156.71,57623.51
,0,8946,3,180.8596,7.018806,0.8487835,,,,,0,0,180.8596,53988.36,49861.73,45997.82
,0,8947,3,557.3301,7.318956,0.8106086,,,,,0,0,557.3301,10474.62,10253.32,11233.27
